"Class Catalogue - Class Search Results"

"Search Type:","Class Search"
"Session:","Academic Year 2021/2022"
"Credit Scheme:","Strathclyde Standard 2003 and after"
"Classification:","Postgraduate"


"CODE","TITLE","CREDITS","LEVEL","UG/PG/CE","SEMESTER","EXCHANGE","ELECTIVE",
"EE991","5g Communications Networks","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"X9641","A History Of Psychoanalytical Thinking","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"HS825","Accreditation For Prior Learning - Pg","0","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3943","Action Research To Effect Change For Bi-Lingual Learners","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EE978","Advanced Digital Signal Processing","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"CH907","Advanced Nanoscience 3","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"94935","Advanced Orthotic Science","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"EE873","Advanced Power And Energy Systems","20","Level 5","Postgraduate","Full Year 2021/2022","Y","NE",
"EE900","Advanced Power Engineering Project","80","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EE973","Advanced Power System Analysis And Protection","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"94937","Advanced Prosthetic Science","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"SF931","Advanced Science Research Project","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"AG930","Advanced Theories In Finance","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"P3971","Advanced Topics In Gender Studies","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"EC951","Analysis Of Economic Data","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EC969","Analysis Of Economic Data","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"MG844","Analytical Support For Decision Making","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"L5978","Assessing And Supporting Carers","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"L8912","Assessing And Supporting Kinship Carers","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X9654","Assessment For Learning In Higher Education","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"EE808","Asset Management And Condition Monitoring","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EE986","Assignment And Professional Studies","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"EE809","Autonomous And Decentralised Control","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MS935","Becoming An Effective 'Or' Modeller","40","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MS809","Becoming An Effective Business Analyst","40","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MS930","Becoming An Effective Business Analyst","40","Level 5","Postgraduate","Full Year 2021/2022","Y","NE",
"MS994","Becoming An Effective Financial Technology Analyst","20","Level 5","Postgraduate","Full Year 2021/2022","Y","NE",
"MS824","Becoming An Effective Health Analyst","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"L2976","Becoming An Effective Technology Analyst","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"Z1979","Becoming An Effective Technology Analyst","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP961","Biochemistry Project And Thesis","120","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"BM906","Biomedical Sciences Project","60","Level 5","Postgraduate","Full Year 2021/2022","Y","NE",
"X9801","Building A Successful Research Career","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"HR922","Business Skills","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"HR974","Business Skills (Pt)","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP906","Care Planning","5","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MS970","Case Studies In Supply Chain Management","20","Level 5","Postgraduate","Full Year 2021/2022","Y","NE",
"X3817","Charting The Child'S Creative Journey: Empowering Children'S Creativity","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"CH906","Chemistry Conversion Class","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"L5905","Child And Youth Care Studies: Child Development In The Lifespace","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"94936","Clinical Gait Analysis","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"94927","Clinical Governance","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"L5956","Clinical Placement 1 And 2","40","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"C8988","Clinical Psychology","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP801","Clinical Service Development","10","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"BF802","Commercial And Risk Management","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"BF803","Commercial Management Business Improvement Project","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP908","Communicating With Patients And Colleagues","5","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EE805","Communications For Power Networks","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EE971","Communications Networks","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"X3818","Conceptions Of Leadership (Distance)","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"M8926","Contemporary Issues In Criminology","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3841","Contemporary Issues In Language Teaching","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3819","Contexts For Leadership (Distance)","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"BF804","Contracting Excellence","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"BF805","Contracts And Contract Structures","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EE802","Control And Protection Of Future Networks","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EE972","Control Principles","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"B9902","Counselling Practicum","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"B9901","Counselling Research Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X7350","Creative Contexts For Learning Italian And French 2","40","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3934","Critical Reading And Writing","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3955","Curriculum Innovation With Technology: Designing For Context","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"EE812","Cyber Security And Data Privacy","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"M8915","Cybercrime And Society","20","Level 5","Postgraduate","Full Year 2021/2022","Y","EO",
"M9868","Cybercrime And Society (Dl)","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"94939","Data Analysis","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"EE810","Data Analytics And Computational Techniques","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MS984","Data Analytics In Practice","20","Level 5","Postgraduate","Full Year 2021/2022","Y","NE",
