Class Catalogue - Class Search Results,,,,,,,
,,,,,,,
Search Type:,Class Search,,,,,,
Session:,Academic Year 2021/2022,,,,,,
Credit Scheme:,Strathclyde Standard 2003 and after,,,,,,
Classification:,Undergraduate,,,,,,
,,,,,,,
,,,,,,,
CODE,TITLE,CREDITS,LEVEL,UG/PG/CE,SEMESTER,EXCHANGE,ELECTIVE
EL103,Academic Listening,0,Level 1,Undergraduate,Full Year 2021/2022,Y,NE
EL104,Academic Reading,0,Level 1,Undergraduate,Full Year 2021/2022,Y,NE
BF111,Academic Skills,10,Level 1,Undergraduate,Full Year 2021/2022,N,NE
MK104,Academic Skills,10,Level 1,Undergraduate,Full Year 2021/2022,Y,EO
EL106,Academic Speaking,0,Level 1,Undergraduate,Full Year 2021/2022,Y,NE
EL105,Academic Writing,0,Level 1,Undergraduate,Full Year 2021/2022,Y,NE
OS174,Access To University Study (Pre-Entry Access Course),30,Level 1,Undergraduate,Full Year 2021/2022,N,NE
AG435,Accounting Dissertation,40,Level 4,Undergraduate,Full Year 2021/2022,N,EO
AG111,Accounting Technologies,20,Level 1,Undergraduate,Full Year 2021/2022,Y,NE
OS128,Acrylics Painting Portfolio Class,10,Level 1,Undergraduate,Full Year 2021/2022,N,NE
MP513,Advanced Clinical Practice,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
EE578,Advanced Digital Signal Processing,20,Level 5,Undergraduate,Full Year 2021/2022,Y,PE
ME414,Advanced Mechanics And Dynamics,20,Level 4,Undergraduate,Full Year 2021/2022,Y,NE
EE579,Advanced Microcontroller Applications,20,Level 5,Undergraduate,Full Year 2021/2022,Y,PE
HR411,Advanced Organisational Behaviour,20,Level 4,Undergraduate,Full Year 2021/2022,N,PE
HR501,Advanced Organisational Behaviour,20,Level 5,Undergraduate,Full Year 2021/2022,N,EO
EE573,Advanced Power System Analysis And Protection,20,Level 5,Undergraduate,Full Year 2021/2022,Y,PE
CS207,Advanced Programming,20,Level 2,Undergraduate,Full Year 2021/2022,Y,PE
EM502,Advanced Systems Engineering,20,Level 5,Undergraduate,Full Year 2021/2022,N,NE
ME424,Aerospace Structures And Dynamics,20,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X7445,An Arts Infused Curriculum,10,Level 4,Undergraduate,Full Year 2021/2022,N,EO
