Africa,Asylum Seeker,basic need,,Basic services,Developing countries,Disadvantaged countries,Economic resources,End poverty,Extreme poverty,Financial inclusion,impoverishment ,Income equality,income support,job seeker,lower class,middle class,no poverty,Poor and vulnerable,poor countries,Poor people,Poverty,Poverty eradication,Poverty line,Quality of human life,Refugee,social protection,social work,Third World,Upper Class,Vulnerable living,wealth disparity,Wealth distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop development,Doha Development Round ,Doha Round,End hunger,Farming shortage,Food bank,Food gap,Food poverty,Food Security,Food Supply,Hunger,Hungry,Hungry people,Improved nutrition,Lack of Food,lack of produce,Malnourished,Malnutrition,Nutritional needs,Poverty,reduction of food,Shortage of food,Small-scale food producers,starving,starved,Stunted growth,Sufficient food,Sustainable food production,Trade restrictions,Under nourished ,Underabundance of food,Undernourished,Wasting food,zero hunger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accident and Emergency ,Affordable medicines,AIDS,Alcohol abuse,alcohol consumption,Antenatal ,Antenatal care,Antibiotics,Antiretroviral,Antiretroviral therapy,Asthma ,Autism ,Biomedical,Bleeding ,Blindness ,Bodily autonomy,Cancer ,care giver,carer,Child deaths,Child Health ,Clinical ,Contraceptive ,Death ,Death rate,Dental,Diabetes,Disability,Disability and family support,Disability and inclusion,Disability and politics of location,Disease,Diseases,Drug use,Family planning,Good health and wellbeing,Health,Health in resource-constrained settings,Health worker density,Healthy,Healthy lives,Hepatitis,HIV,Immunisation ,Immunity ,Improving mortality,Increasing life expectancy,Infected,Infection ,Infectious  ,Inflammation ,International health policy,International health regulations,Malaria,Maternal mortality,Measles,Medical,Medication ,Medicine ,Mental health,Mortality,Mortality rate,Narcotic drug abuse,Neonatal ,Neonatal mortality,NHS ,Polio,Premature birth ,Premature mortality,Preventable deaths,Public health ,Reducing malaria,Reducing mortality,Refugees health services,Reproductive health,Road traffic accidents,Sexual and reproductive health-care,Sexual health,Soil contamination,Soil pollution,Stroke,Substance abuse ,Tobacco control,Trauma ,Treatment ,Treatment of substance abuse,Tuberculosis,Universal health,Universal health coverage,Vaccination,Vaccines,Vaccines in developing countries,Violence,WASH,"Water, Sanitation and Hygiene for All",Water-borne disease,well being,Wellbeing,Well-being ,World Health Organisation
Access to education,Achievement ,Basic education,Basic literacy,Basic literacy skills,Childrens education ,Curriculum outline,Disability and education,Disability educational support,Early childhood development,Education in developing countries,Educational ,Equal education,Equitable education,Gender disparities in education,Global education,Inclusion and education,Learning ,learning difficulty,learning disability,Learning opportunities,Lifelong learning,Literacy skills,Numeracy skills,Preprimary education,Primary education,Primary School ,primary teaching,Qualified teachers,Quality education,Refugees and learning,research skills,Scholarships,Secondary education,Teacher training,Teaching ,teaching knowledge,teaching support,Universal education,Vocational training,chartered degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disadvantaged due to gender,Discrimination against gender,Domestic violence ,Employment of Women,Empower girls,Empowering girls,Empowering women,Equal access for all genders,Equal opportunities ,Equality for genders,Exploitation of girls ,Exploitation of women ,Female genital mutilation,Female in STEM,female rights,Feminism,Forced marriage,Gender discrimination,Gender Equality,gender parity,Gender pay gap ,Gender violence ,Human trafficking,Marginalised groups,Offences against females,Rape ,Reproductive rights,Sexual Abuse ,Sexual exploitation,Sexual violence,Trafficking,Victim blaming,Violence against girls,Violence against women,Violence AND girls,Violence AND women,Women in STEM,Women in work,Women's empowerment ,Women's rights,Workplace equality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acces to toilets,Accessible water,Affordable drinking water,Aquifer,City water,Clean drinking water,Clean Water and Sanitation,Contaminated water,drinking water,Drought,Dumping into water,Ecosystem restoration,Equitable sanitation,Fresh drinking water,Hydropower,Hygiene,hygiene products,Improving watersupply,Inadequate water supply,Pollution of drinking water,Quality water,Recycled water,Reduce water consumption,Reducing water consumption,Resource of water,Safe drinking water,Sanitation,Sanitation and hygiene,Sanitation management,Sustainable water management,thirsty,Untreated wastewater,Waste water ,Wastewater treatment,Water access,Water ecosystems,water Management ,Water quality,water resources,Water scarcity,water supply,water systems,water waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable and Clean Energy,Affordable energy,Alternative energy,Animal waste,battery power,carbon emissions,Clean energy,Clean energy technology,Clean fuel,Clean fuel technology,Clean fuels,Cleaner fossil fuel technology,Climate goal,electric Vehicles,electrical energy,Electricity,Electricity infrastructure,Energy efficiency,Energy infrastructure,Energy research,Energy technology,Fossil Fuel,Fossil-fuel,Green economy,Greenhouse gas,Greenhouse gas emissions,Hydroelectric,industrial energy,Low carbon energy,Modern electricity,Modern energy,nuclear energy,nuclear power,Power systems,power Technology ,Reliable energy,Renewable energy,Renewable power,Solar energy,Solar power,space energy,Sustainable energy,Sustainable power,thermoelectric energy,thermoelectric power,Wave power,Wind energy ,Wind power,Wind turbine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aid for trade,Banking,Business,business Partnerships,Child labour,Child soldiers,Commercial  advertisements,Credit card,credit score,Debt ,Decent work,Decent Work and Economic Growth,Decent work for all,Development oriented policy,econometric,Economic growth,Economic productivity,Economy,Employment ,Entrepreneurship,Equal pay,Expenditure,Exported goods,Finance,Financial services,Funding ,GDP growth ,Global resource efficiency,Global trade,Gross domestic product ,Inclusive economic growth,Investment ,Job creation,Labour market,manual labour,Marketing,Micro finance,Migrant workers,Modern slavery,Monetary ,money loss,Productive employment,Public policy,Quality jobs,Safe work,Sales ,Secure work,Stable employment,Stable jobs,Sustainable economic growth,Sustainable production,Sustainable tourism,Traders,Unemployment,Well-paid jobs,Work opportunities,Workforce ,World Bank ,World trade,Youth employment,Youth unemployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable access,Affordable credit,Architecture,building design,city development,Communications technology ,Data banks,Economic development,Environmentally sound technologies,Foster innovation ,funding for building,ICT infrastructure,Industrial ,Industrial diversification,Industrialisation,"Industry, Innovation and Infrastructure",Information and communication technology,Infrastructure,Innovation,Knowledge in infrastructure,mobile networks,Mobile networks in developing countries,National Security,Network infrastructure,outter space,Phone service,Regional infrastructure,Research in architectural development,Resilient infrastructure,Sustainable industrialisation,Sustainable infrastructure,Technological capabilities,Transborder infrastructure,Transportation,Water infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable housing,Ageism,Anti-discrimination ,Antisemitism ,Classism ,Cultural differences,Developing countries,Developing states,Development assistance,Disabilities,disability,disabled,Discrimination,Discriminatory,Equal opportunity,Equal pay ,Equality,Equity,Ethnic minorities ,Ethnic origin ,Ethnicity,Financial assistance,Foreign aid,gender equality,Global financial markets,Hate crime ,Homelessness,Homophobia,Human rights,Immigration ,Inclusion,Income growth,Income inequality,indigenous ,Inequalities,Inequality,Migrant remittance,Migrants ,Migration,minorities,minority people,Misrepresented people,Quality of life,Racisim,Reduce inequalities,reduce poverty,Reduced Inequalities,Religion,Sexism,Sexual orientation ,Social inclusion ,Social protection,vulnerability,Vulnerable nations,Xenophobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
